id,title_zh,status,evidence_level,related_function_count,source_note_id,path
C-0431,电磁统一的门控面合并,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0431.json
C-0432,电弱统一的门控面分裂逆过程,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0432.json
C-0433,GUT统一度0.87的数学来源,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0433.json
C-0434,标准模型卡在1/ln,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0434.json
C-0435,大统一路径表的Φ项数递减,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0435.json
C-0436,强力与电弱统一的门控面趋同,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0436.json
C-0437,引力门控面的B型特殊性,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0437.json
C-0438,高斯门控在M_Planck处的极值点,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0438.json
C-0439,洛伦兹型门控被排除,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0439.json
C-0440,路径积分-门控函数同构,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0440.json
C-0441,σ_Planck≈6.9的物理含义,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0441.json
C-0442,QCD尺度上门控贡献趋零,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0442.json
C-0443,Φ_QG极小点在GUT能标,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0443.json
C-0444,极值点与极小点分离5.8个对数单位,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0444.json
C-0445,第一步4→2在Λ_GUT,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0445.json
C-0446,第二步2→1在μ*≈Λ_GUT,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0446.json
C-0447,A-A合并vs A-B共振,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0447.json
C-0448,完全统一四条路径全走不到Ω=1,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0448.json
C-0449,不完全统一是物理现实,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0449.json
C-0450,Ω=1=无物理,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0450.json
C-0451,Ω=0=完全死锁,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0451.json
C-0452,宇宙Ω≈0.19落在最优区间,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0452.json
C-0453,热寂=完全统一=Ω→1,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0453.json
C-0454,dΦ/dt≤0的宇宙学机制,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0454.json
C-0455,暗能量不是第五种力,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0455.json
C-0456,物理存在的四重约束,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0456.json
C-0457,退相干=门控退化,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0457.json
C-0458,双通道衰减的耦合,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0458.json
C-0459,宏观系统先退相干再热寂,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0459.json
C-0460,宇宙整体先热寂再退相干,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0460.json
C-0461,1/ln门控的量子涨落不可忽略,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0461.json
C-0462,信息衰减律dI/dt≤0,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0462.json
