案例ID,案例名称,描述/关键推论,状态,来源笔记ID,来源文件,创建时间
C-0431,电磁统一的门控面合并,麦克斯韦统一=电门控面和磁门控面在μ>>M_W处合并为一个。核心函数：D191/T26,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0432,电弱统一的门控面分裂逆过程,低能分裂（D187对称破缺），高能合并（D183门控面合并）。核心函数：D191,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0433,GUT统一度0.87的数学来源,三个A型门控面合并后仍留13%未统一空间，对应质子衰变。核心函数：D200,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0434,标准模型卡在1/ln,电弱统一和QCD都用1/ln门控，引力需要exp[-ln²]但标准模型没有。核心函数：D196,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0435,大统一路径表的Φ项数递减,从4项到1项，每步减少门控面数量。核心函数：D191,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0436,强力与电弱统一的门控面趋同,Λ_QCD和M_W在μ>μ*_GUT处趋同，门控面合并。核心函数：D191,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0437,引力门控面的B型特殊性,1/ln(M_Planck/μ)方向与A型相反，无法在1/ln框架内合并。核心函数：D192/T33,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0438,高斯门控在M_Planck处的极值点,dg/dμ=0，两侧退化为1/ln，量子涨落自然为零。核心函数：D195/T28,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0439,洛伦兹型门控被排除,|ln|在x=0不可微，量子涨落δg发散，违反D190约束。核心函数：D203,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0440,路径积分-门控函数同构,经典路径δS=0对应门控极值点dg/dμ=0，高斯展开=路径积分一阶展开。核心函数：T30,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0441,σ_Planck≈6.9的物理含义,远超跃迁临界0.415，量子引力在高斯门控下有充分信息空间。核心函数：D209/T35,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0442,QCD尺度上门控贡献趋零,σ≈16.6，g(Λ_QCD)≈2×10⁻¹⁰，验证渐近自由。核心函数：D210/T36,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0443,Φ_QG极小点在GUT能标,μ≈1.26×10¹⁶ GeV≈Λ_GUT，不在M_Planck。核心函数：D212/T37,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0444,极值点与极小点分离5.8个对数单位,量子引力和四力统一是两个事件。核心函数：D213/T38,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0445,第一步4→2在Λ_GUT,三个A型门控面合并为一个，1/ln框架内完成。核心函数：D215,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0446,第二步2→1在μ*≈Λ_GUT,A-B型共振而非合并，Ω≈0.19远低于第一步。核心函数：D215,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0447,A-A合并vs A-B共振,合并减少项数（效率高），共振只减值不减项数（效率低）。核心函数：D216,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0448,完全统一四条路径全走不到Ω=1,σ_A→∞退化，Λ_GUT→M_Planck需解释，调和平均Ω≈0.67，统一高斯Ω≈0.37。核心函数：D217,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0449,不完全统一是物理现实,Ω<1不是缺陷，是物理存在的数学前提。核心函数：D218/D220,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0450,Ω=1=无物理,没有约束=没有力=没有粒子=没有时空。核心函数：D218,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0451,Ω=0=完全死锁,无限约束=没有自由度=没有动力学。核心函数：D218,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0452,宇宙Ω≈0.19落在最优区间,"(0.018,0.37)内，偏向约束少的方向。核心函数：D219",fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0453,热寂=完全统一=Ω→1,在高斯门控下，μ→0时所有g→0→Φ→0→Ω→1。核心函数：D221,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0454,dΦ/dt≤0的宇宙学机制,膨胀稀释能量密度→门控贡献递减→Φ衰减。核心函数：D224,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
